Filename,Type,Label,Detected,Max_Score,Score_Smooth,Score_Bit-2,Score_Bit-2+Smooth
car.jpg,clean,sports car,True,0.8729,0.6388,0.8729,0.5691
car.jpg,adversarial,cab,True,1.8853,0.0141,0.6430,1.8853
mouse.jpg,clean,mouse,True,1.4409,0.0082,1.4409,1.0783
mouse.jpg,adversarial,ocarina,True,1.8847,0.0000,1.8847,1.8721
tiger.jpg,clean,tiger,True,0.3302,0.1499,0.3302,0.2782
tiger.jpg,adversarial,Egyptian cat,True,1.9957,1.9866,1.9780,1.9957
car.jpg,clean,sports car,False,0.8729,0.6388,0.8729,0.5691
car.jpg,adversarial,cab,True,1.8754,0.0106,0.6506,1.8754
mouse.jpg,clean,mouse,False,1.4409,0.0082,1.4409,1.0783
mouse.jpg,adversarial,ocarina,True,1.8753,0.0000,1.3366,1.8753
tiger.jpg,clean,tiger,False,0.3302,0.1499,0.3302,0.2782
tiger.jpg,adversarial,Egyptian cat,True,1.9971,1.9769,1.9936,1.9971
Sports-Car-Download-Free-PNG-2421495027.png,clean,sports car,False,0.1604,0.1331,0.1093,0.1604
Sports-Car-Download-Free-PNG-2421495027.png,adversarial,sewing machine,True,2.0000,1.9967,1.9996,2.0000
cheetah-resting-close-up-in-natural-habitat-png-462088722.png,clean,cheetah,False,0.5678,0.1819,0.5678,0.2962
cheetah-resting-close-up-in-natural-habitat-png-462088722.png,adversarial,jaguar,True,1.6700,0.2882,1.5599,1.6700
g502x-corded-gallery-1-black-697223572.png,clean,mouse,True,1.8880,0.1029,1.8880,1.8815
g502x-corded-gallery-1-black-697223572.png,adversarial,parking meter,True,1.9815,0.0059,1.9815,1.9356
grizzly-bear-front-view-isolated-transparent-png-2073177459.png,clean,brown bear,False,0.7161,0.0939,0.7161,0.4757
grizzly-bear-front-view-isolated-transparent-png-2073177459.png,adversarial,malamute,True,1.9985,1.0778,1.9972,1.9985
pngtree-beautiful-pig-on-transparent-background-png-image_13261579-2945122845.png,clean,piggy bank,False,1.0011,0.6747,1.0011,0.9194
pngtree-beautiful-pig-on-transparent-background-png-image_13261579-2945122845.png,adversarial,hog,False,0.2030,0.0024,0.2030,0.1699
pngtree-lion-walking-wild-cat-in-transparent-background-png-image_9153482-4274920647.png,clean,lion,True,1.7459,0.2342,1.1011,1.7459
pngtree-lion-walking-wild-cat-in-transparent-background-png-image_9153482-4274920647.png,adversarial,unicycle,True,1.9823,1.7077,1.9735,1.9823
purepng.com-cheese-piecefood-organic-cheese-piece-block-dairy-9415246351700skq0-1114179922.png,clean,saltshaker,False,1.4927,0.2064,1.4927,1.3916
purepng.com-cheese-piecefood-organic-cheese-piece-block-dairy-9415246351700skq0-1114179922.png,adversarial,purse,True,1.9173,0.3742,1.6899,1.9173
tree_PNG3498-2632535023.png,clean,coral fungus,False,0.7594,0.5776,0.7594,0.5483
tree_PNG3498-2632535023.png,adversarial,castle,True,1.9576,0.3199,1.9279,1.9576
Sports-Car-Download-Free-PNG-2421495027.png,clean,sports car,False,0.1604,0.1331,0.1093,0.1604
Sports-Car-Download-Free-PNG-2421495027.png,adversarial,sewing machine,True,2.0000,1.9991,1.9996,2.0000
a-sleek-speed-boat-with-a-red-canopy-and-white-hull-cruises-smoothly-on-the-water-png-389241293.png,clean,speedboat,False,0.0658,0.0086,0.0658,0.0255
a-sleek-speed-boat-with-a-red-canopy-and-white-hull-cruises-smoothly-on-the-water-png-389241293.png,adversarial,sundial,True,1.9900,0.8097,1.7193,1.9900
cheetah-resting-close-up-in-natural-habitat-png-462088722.png,clean,cheetah,False,0.5678,0.1819,0.5678,0.2962
cheetah-resting-close-up-in-natural-habitat-png-462088722.png,adversarial,jaguar,False,1.5813,0.2381,1.4991,1.5813
g502x-corded-gallery-1-black-697223572.png,clean,mouse,True,1.8880,0.1029,1.8880,1.8815
g502x-corded-gallery-1-black-697223572.png,adversarial,combination lock,True,1.9018,0.0007,1.9018,1.7029
grizzly-bear-front-view-isolated-transparent-png-2073177459.png,clean,brown bear,False,0.7161,0.0939,0.7161,0.4757
grizzly-bear-front-view-isolated-transparent-png-2073177459.png,adversarial,Norwegian elkhound,True,1.9607,0.1123,1.9560,1.9607
phone_PNG48887-3873071030.png,clean,dial telephone,False,0.6078,0.4073,0.3541,0.6078
phone_PNG48887-3873071030.png,adversarial,printer,True,1.9311,0.6424,1.9311,1.8518
plane_PNG101255-3002090955.png,clean,airliner,False,0.1528,0.0378,0.1414,0.1528
plane_PNG101255-3002090955.png,adversarial,paper towel,True,1.9999,1.2590,1.9994,1.9999
pngtree-beautiful-pig-on-transparent-background-png-image_13261579-2945122845.png,clean,piggy bank,False,1.0011,0.6747,1.0011,0.9194
pngtree-beautiful-pig-on-transparent-background-png-image_13261579-2945122845.png,adversarial,hog,False,0.1173,0.0023,0.0775,0.1173
pngtree-lion-walking-wild-cat-in-transparent-background-png-image_9153482-4274920647.png,clean,lion,True,1.7459,0.2342,1.1011,1.7459
pngtree-lion-walking-wild-cat-in-transparent-background-png-image_9153482-4274920647.png,adversarial,Chihuahua,True,1.9973,1.6364,1.9540,1.9973
purepng.com-cheese-piecefood-organic-cheese-piece-block-dairy-9415246351700skq0-1114179922.png,clean,saltshaker,False,1.4927,0.2064,1.4927,1.3916
purepng.com-cheese-piecefood-organic-cheese-piece-block-dairy-9415246351700skq0-1114179922.png,adversarial,purse,True,1.8471,0.6498,1.6536,1.8471
tree_PNG3498-2632535023.png,clean,coral fungus,False,0.7594,0.5776,0.7594,0.5483
tree_PNG3498-2632535023.png,adversarial,castle,True,1.9477,0.1942,1.7773,1.9477
cassette_player_1.png,clean,tape player,False,0.8910,0.2558,0.8910,0.5707
cassette_player_1.png,adversarial,radio,True,1.6848,0.3907,1.6848,1.4974
chain_saw_1.png,clean,chain saw,False,0.9399,0.4611,0.9399,0.7854
chain_saw_1.png,adversarial,bee eater,True,1.8919,0.2087,1.5873,1.8919
church_1.png,clean,fountain,False,0.9344,0.3937,0.8312,0.9344
church_1.png,adversarial,four-poster,True,1.9992,0.3029,1.9989,1.9992
english_springer_1.png,clean,English springer,False,1.1122,0.5836,1.0664,1.1122
english_springer_1.png,adversarial,lesser panda,True,1.9953,1.1787,1.9936,1.9953
french_horn_1.png,clean,French horn,False,0.7300,0.4388,0.7300,0.7040
french_horn_1.png,adversarial,cowboy hat,True,1.9763,0.0686,1.9505,1.9763
garbage_truck_1.png,clean,garbage truck,False,1.4306,0.4540,1.0845,1.4306
garbage_truck_1.png,adversarial,trailer truck,False,1.5840,0.0432,1.5840,1.4075
gas_pump_1.png,clean,cash machine,True,1.6247,0.3924,1.5503,1.6247
gas_pump_1.png,adversarial,four-poster,True,1.9551,0.1690,1.3086,1.9551
golf_ball_1.png,clean,tennis ball,False,1.1212,0.6310,0.9804,1.1212
golf_ball_1.png,adversarial,wall clock,False,0.6286,0.0444,0.6286,0.4192
image.png,clean,crossword puzzle,False,1.4635,0.2951,1.4635,1.4375
image.png,adversarial,carton,True,1.9907,0.7346,1.9907,1.9900
image2.png,clean,crossword puzzle,False,1.4913,0.4274,1.4827,1.4913
image2.png,adversarial,horizontal bar,True,1.8951,0.1146,1.8549,1.8951
parachute_1.png,clean,parachute,False,0.0570,0.0039,0.0496,0.0570
parachute_1.png,adversarial,candle,True,1.9950,1.6880,1.8999,1.9950
tench_1.png,clean,tench,True,1.6464,0.3382,1.6464,1.6233
tench_1.png,adversarial,long-horned beetle,True,1.9961,0.0418,1.9961,1.9920
