model,filename,clean_score,adv_score,clean_Smooth,clean_Bit-2,clean_Bit-2+Smooth,adv_Smooth,adv_Bit-2,adv_Bit-2+Smooth
GoogLeNet,cassette_player_1.png,0.8910,1.5609,0.2558,0.8910,0.5707,0.6644,1.5609,1.5517
GoogLeNet,chain_saw_1.png,0.9399,1.9252,0.4611,0.9399,0.7854,0.2242,1.5334,1.9252
GoogLeNet,church_1.png,0.9344,1.9995,0.3937,0.8312,0.9344,0.1221,1.9994,1.9995
GoogLeNet,english_springer_1.png,1.1122,1.9985,0.5836,1.0664,1.1122,0.0375,1.9985,1.9678
GoogLeNet,french_horn_1.png,0.7300,1.9695,0.4388,0.7300,0.7040,0.0068,1.9627,1.9695
GoogLeNet,garbage_truck_1.png,1.4306,1.5921,0.4540,1.0845,1.4306,0.0050,1.5921,1.3071
GoogLeNet,gas_pump_1.png,1.6247,1.9949,0.3924,1.5503,1.6247,0.5726,1.9911,1.9949
GoogLeNet,golf_ball_1.png,1.1212,0.6798,0.6310,0.9804,1.1212,0.0224,0.6572,0.6798
GoogLeNet,image.png,1.4635,1.9914,0.2951,1.4635,1.4375,1.1125,1.9914,1.9906
GoogLeNet,image2.png,1.4913,1.9278,0.4274,1.4827,1.4913,0.5844,1.9099,1.9278
GoogLeNet,parachute_1.png,0.0570,1.9918,0.0039,0.0496,0.0570,1.0476,1.9480,1.9918
GoogLeNet,tench_1.png,1.6464,1.9986,0.3382,1.6464,1.6233,0.1884,1.9986,1.9981
ResNet-50,cassette_player_1.png,0.5415,1.9099,0.1971,0.1952,0.5415,1.8060,1.7196,1.9099
ResNet-50,chain_saw_1.png,1.0616,1.9967,1.0616,0.0899,1.0139,1.9901,1.9955,1.9967
ResNet-50,church_1.png,0.9418,1.9985,0.3672,0.7944,0.9418,1.5704,1.9621,1.9985
ResNet-50,english_springer_1.png,1.2588,1.9986,0.2831,0.1744,1.2588,1.9871,1.9965,1.9986
ResNet-50,french_horn_1.png,0.7216,1.9977,0.1757,0.7216,0.3878,1.9483,1.9977,1.9970
ResNet-50,garbage_truck_1.png,1.0285,1.9939,0.4309,0.3949,1.0285,1.7761,1.9777,1.9939
ResNet-50,gas_pump_1.png,1.3027,1.9244,0.1858,0.9751,1.3027,0.1605,1.6612,1.9244
ResNet-50,golf_ball_1.png,1.0761,1.9985,0.1838,1.0761,1.0412,1.9475,1.9981,1.9985
ResNet-50,image.png,0.7830,1.7522,0.3522,0.7830,0.7584,0.6717,1.7522,1.7477
ResNet-50,image2.png,0.7073,1.9545,0.3052,0.7073,0.6969,1.2493,1.9545,1.9510
ResNet-50,parachute_1.png,0.2515,1.9966,0.0306,0.1031,0.2515,1.8415,1.9966,1.9964
ResNet-50,tench_1.png,0.8780,1.9902,0.2010,0.1432,0.8780,0.8796,1.9622,1.9902
MobileNet-V3,cassette_player_1.png,0.4241,1.9993,0.1458,0.4241,0.3263,1.9777,1.9976,1.9993
MobileNet-V3,chain_saw_1.png,1.1532,1.8442,0.3366,1.1532,0.1791,0.7938,0.5354,1.8442
MobileNet-V3,church_1.png,1.3086,1.9294,0.5257,1.2082,1.3086,1.8156,1.6485,1.9294
MobileNet-V3,english_springer_1.png,1.6509,1.9229,0.2005,1.5526,1.6509,0.5792,1.7635,1.9229
MobileNet-V3,french_horn_1.png,0.6298,1.9949,0.1682,0.1260,0.6298,0.0973,1.9752,1.9949
MobileNet-V3,garbage_truck_1.png,1.0146,1.9883,0.5560,0.8885,1.0146,1.9764,1.9879,1.9883
MobileNet-V3,gas_pump_1.png,0.8417,1.9714,0.4769,0.8417,0.7095,0.0689,0.7313,1.9714
MobileNet-V3,golf_ball_1.png,1.4513,1.9897,0.6603,1.0147,1.4513,1.9542,1.9788,1.9897
MobileNet-V3,image.png,1.2097,1.9607,0.7765,1.1580,1.2097,1.9264,1.9607,1.9589
MobileNet-V3,image2.png,1.1414,1.9772,0.5665,1.0248,1.1414,0.2474,1.9735,1.9772
MobileNet-V3,parachute_1.png,0.3732,1.9934,0.0636,0.0395,0.3732,1.9907,1.9895,1.9934
MobileNet-V3,tench_1.png,1.1282,1.8753,0.5487,1.1282,0.8372,0.0350,1.8753,1.7978
